stop_id,stop_code,stop_name,stop_desc,stop_lat,stop_lon,location_type,parent_station,wheelchair_boarding
17183,17183,Ashland & Polk,"Ashland & Polk, Southbound, Southwest Corner",41.87147509,-87.66667512,0,,1
17225,17225,Ashland & 13th Street,"Ashland & 13th Street, Southbound, Southwest Corner",41.86490114,-87.66646857,0,,1
17226,17226,Ashland & 14th Street,"Ashland & 14th Street, Southbound, Southwest Corner",41.8631206,-87.6664269,0,,1
17227,17227,Ashland & 18th Street,"Ashland & 18th Street, Southbound, Southwest Corner",41.85759479,-87.66626738,0,,1
17228,17228,Ashland & 21st Street,"Ashland & 21st Street, Northbound, Northeast Corner",41.85443921,-87.66592221,0,,1
17229,17229,Ashland & 18th Street,"Ashland & 18th Street, Northbound, Northeast Corner",41.85806609,-87.66600159,0,,1
17230,17230,Ashland & 17th Street,"Ashland & 17th Street, Northbound, Northeast Corner",41.85889903,-87.666047,0,,1
17235,17235,2400 S Ashland,"2400 S Ashland, Southbound, Southwest Corner",41.84896743,-87.6661145,0,,1
17252,17252,Ashland & Addison,"Ashland & Addison, Southbound, Southwest Corner",41.94682012,-87.66899949,0,,1
17256,17256,Ashland & 47th Street,"Ashland & 47th Street, Northbound, Northeast Corner",41.80900114,-87.66483748,0,,1
17257,17257,Ashland & 45th Street,"Ashland & 45th Street, Northbound, Northeast Corner",41.81244383,-87.6649352,0,,1
17258,17258,Ashland & 44th Street,"Ashland & 44th Street, Northbound, Northeast Corner",41.81428953,-87.66497779,0,,1
17260,17260,Ashland & 47th Street,"Ashland & 47th Street, Southbound, Southwest Corner",41.80839146,-87.6651025,0,,1
17391,17391,Ashland & Clybourn,"Ashland & Clybourn, Northbound, Northeast Corner",41.92440156,-87.66797277,0,,1
17392,17392,Ashland & Fullerton,"Ashland & Fullerton, Northbound, Northeast Corner",41.92530861,-87.66800761,0,,1
17407,17407,Ashland & School,"Ashland & School, Northbound, Northeast Corner",41.94169285,-87.66858385,0,,1
17433,17433,95th Street & Halsted,"95th Street & Halsted, Westbound, Northwest Corner",41.72155944,-87.64355341,0,,1
17521,17521,Ashland & 63rd Street,"Ashland & 63rd Street, Southbound, Southwest Corner",41.77924927,-87.66436375,0,,1
17996,17996,Ashland & 44th Street,"Ashland & 44th Street, Southbound, Southwest Corner",41.81384558,-87.66523508,0,,1
17997,17997,Ashland & 45th Street,"Ashland & 45th Street, Southbound, Southwest Corner",41.81202655,-87.66518658,0,,1
17998,17998,Ashland & 48th Street,"Ashland & 48th Street, Southbound, Southwest Corner",41.80651175,-87.66504319,0,,1
17999,17999,Ashland & 50th Street,"Ashland & 50th Street, Southbound, Southwest Corner",41.8029169,-87.66494793,0,,1
18000,18000,Ashland & 61st Street,"Ashland & 61st Street, Southbound, Southwest Corner",41.7828518,-87.66442823,0,,1
18002,18002,Ashland & 51st Street,"Ashland & 51st Street, Northbound, Northeast Corner",41.80156686,-87.6646383,0,,1
18003,18003,Ashland & 50th Street,"Ashland & 50th Street, Northbound, Northeast Corner",41.80336998,-87.664701,0,,1
18004,18004,Ashland & 48th Street,"Ashland & 48th Street, Northbound, Northeast Corner",41.80693076,-87.66479865,0,,1
18020,18020,Ashland & Pershing,"Ashland & Pershing, Southbound, Southwest Corner",41.82242056,-87.66558474,0,,1
